127.0.0.1 - - [26/Jul/2018:16:42:30 +0800] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:42:33 +0800] "GET /code/index.jsp HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:43:03 +0800] "GET /code/ HTTP/1.1" 200 3365
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:43:03 +0800] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:46:28 +0800] "GET /code/ HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:00 +0800] "GET /code/ HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:02 +0800] "GET /code/ HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:02 +0800] "GET /code/ HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:02 +0800] "GET /code/ HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:03 +0800] "GET /code/ HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:08 +0800] "GET /code/ HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:22 +0800] "GET /code/ HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:49 +0800] "GET /code/ HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:52 +0800] "GET /code/ HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:52 +0800] "GET /code/ HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:52 +0800] "GET /code/ HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:53 +0800] "GET /code/ HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:47:53 +0800] "GET /code/ HTTP/1.1" 200 3642
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:43 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:43 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:44 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:44 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:44 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:46 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:46 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:46 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:47 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:47 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:48 +0800] "GET /code/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [26/Jul/2018:16:48:48 +0800] "GET /favicon.ico HTTP/1.1" 404 1014
